[0.042s] Invoking command in '/home/ros2mc/ros2_ws/build/kari-drone-system': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake /home/ros2mc/ros2_ws/kari-drone-system -DCMAKE_INSTALL_PREFIX=/home/ros2mc/ros2_ws/install/kari-drone-system
[0.300s] -- The C compiler identification is GNU 11.4.0
[0.471s] -- The CXX compiler identification is GNU 11.4.0
[0.492s] -- Detecting C compiler ABI info
[0.651s] -- Detecting C compiler ABI info - done
[0.665s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.665s] -- Detecting C compile features
[0.666s] -- Detecting C compile features - done
[0.676s] -- Detecting CXX compiler ABI info
[0.934s] -- Detecting CXX compiler ABI info - done
[0.965s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.966s] -- Detecting CXX compile features
[0.968s] -- Detecting CXX compile features - done
[0.973s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[1.493s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[1.794s] -- Found ament_lint_auto: 0.12.11 (/opt/ros/humble/share/ament_lint_auto/cmake)
[5.273s] -- Added test 'cppcheck' to perform static code analysis on C / C++ code
[5.274s] -- Configured cppcheck include dirs: 
[5.274s] -- Configured cppcheck exclude dirs and/or files: 
[5.654s] -- Added test 'flake8' to check Python code syntax and style conventions
[6.403s] -- Added test 'lint_cmake' to check CMake code style
[6.781s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[9.796s] -- Added test 'uncrustify' to check C / C++ code style
[9.796s] -- Configured uncrustify additional arguments: 
[10.181s] -- Added test 'xmllint' to check XML markup files
[10.183s] -- Configuring done
[10.192s] -- Generating done
[10.194s] -- Build files have been written to: /home/ros2mc/ros2_ws/build/kari-drone-system
[10.206s] Invoked command in '/home/ros2mc/ros2_ws/build/kari-drone-system' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake /home/ros2mc/ros2_ws/kari-drone-system -DCMAKE_INSTALL_PREFIX=/home/ros2mc/ros2_ws/install/kari-drone-system
[10.210s] Invoking command in '/home/ros2mc/ros2_ws/build/kari-drone-system': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros2mc/ros2_ws/build/kari-drone-system -- -j6 -l6
[10.292s] Invoked command in '/home/ros2mc/ros2_ws/build/kari-drone-system' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros2mc/ros2_ws/build/kari-drone-system -- -j6 -l6
[10.335s] Invoking command in '/home/ros2mc/ros2_ws/build/kari-drone-system': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/ros2mc/ros2_ws/build/kari-drone-system
[10.349s] -- Install configuration: ""
[10.350s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/ament_index/resource_index/package_run_dependencies/kari-drone-system
[10.351s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/ament_index/resource_index/parent_prefix_path/kari-drone-system
[10.351s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/environment/ament_prefix_path.sh
[10.352s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/environment/ament_prefix_path.dsv
[10.352s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/environment/path.sh
[10.352s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/environment/path.dsv
[10.353s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/local_setup.bash
[10.353s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/local_setup.sh
[10.354s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/local_setup.zsh
[10.354s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/local_setup.dsv
[10.355s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/package.dsv
[10.355s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/ament_index/resource_index/packages/kari-drone-system
[10.356s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/cmake/kari-drone-systemConfig.cmake
[10.356s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/cmake/kari-drone-systemConfig-version.cmake
[10.356s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/package.xml
[10.357s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system/package.json
[10.357s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist
[10.357s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/index-ros.js.map
[10.358s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/index-ros.d.ts
[10.358s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/router
[10.358s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/router/index.d.ts
[10.359s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/router/index.js.map
[10.359s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/router/index.d.ts.map
[10.360s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/router/index.js
[10.361s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service
[10.361s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/ros2.service.js
[10.362s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/logger.d.ts.map
[10.363s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/camera.capture.service.js.map
[10.363s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/camera.capture.service.d.ts
[10.364s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/logger.d.ts
[10.364s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/ros2.service.d.ts
[10.365s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/camera.capture.service.d.ts.map
[10.365s] -- Installing: /home/ros2mc/ros2_ws/install/kari-drone-system/share/kari-drone-system//dist/service/ros2.service.js.map
